Name,Old_Price,Special_Price,Save,Material,Cleaning_Process,Pattern,Pile_height,Weight,Origin,Type,Product_Reviews,_id
Cleo 013-0016 6191 Cream White Carved Shaggy Textured Rug by Mastercraft,223.2,169.08,Save 24,Polyester,Easy to clean,Abstract,25.0,2900,Belgium,Modern,,67062f7bf386a3a7f2624e7a
Nova NV10 Antique Grey Rug by Asiatic,59.0,39.6,Save 33,Polypropylene,Easy to clean,Floral,9.0,2250,Turkey,Traditional," Excellent distressed look! Customer service was great! Delivery was earlier than expected!  |  Quite gorgeous rug! It looks perfect in my bedroom! Great texture as well! Would recommend!   |  Stunning look, amazing quality and classy appeal! Got an amazing offer! Would definitely buy again!   |  Brilliant looking rug! The delivery was a bit late, but happy with the overall purchase!   |  Great-quality, amazing pattern and affordable! From order to delivery, The Rug Shop UK handled everything amazingly!   |  Classy, elegant and gorgeous! It's perfect for my living room! Would highly recommend it!   |  This lovely rug, arrived very quickly, within a few days. It is such a nice shade of grey, and replaced one of the same make. I have had for a while. Couldn't get the original rug I ordered, but the company were very helpful, and got another rug sent out right away. Also very good email updates from them. Very happy with the service, excellent.  |  Love the rug and great communication from the company but needed to get an underlay for it as it was riding up (a lot) on the carpet. It's not suitable for use on a carpet without the underlay but with it, it looks lovely (had lots of compliments). ",67062f7cf386a3a7f2624e7b
Aurora AU02 Cloud Rug by Asiatic,89.0,52.8,Save 41,"Polyester , Polypropylene",Easy to clean,"Abstract , Optical/ (3D)",8.0,2250,Turkey,Modern," It was amazing rugs , love it I highly recommend it to everyone,   |  I recently acquired a rug for my home, and it's been a fantastic addition to my decor. The design and colors create a calming atmosphere, and the quality is truly impressive.  |  Lovely rug at a great price. Delivered very quickly. I'm delighted with it. Just what I wanted. True description and size ideal for the lounge.  |  This cloudlike rug from The Rug Shop UK is a breath of fresh air in my home. The soothing colors and unique design create a serene and calming atmosphere, making it a perfect addition to any room.  |  Stunning rug with gorgeous tones and pattern! Delivery was earlier than expected! Would recommend!  |  This cloudlike rug is like a breath of fresh air in my home. The design and soothing colors create a serene atmosphere. It's a rug that brings tranquility and style to any room.  |  High-quality pile with eye-catching pattern. The whole ordering experience was great!  |  Soft texture and gorgeous design. From order to delivery, The Rug Shop UK handled everything well! ",67062f7cf386a3a7f2624e7c
Checked Flatweave Grey Rug By Oriental Weavers,21.33,14.5,Save 32,Polypropylene,Easy to clean,"Bordered , Chequered",,1744,Egypt,Modern," I have used the rug shop on two occasions 
and have been very happy with their service.
Pricewize I don’t think that they can be any better.
I have purchased items from them that have been a lot less expensive for the same items elsewhere.  |  A subtle and stylish rug, it adds sophistication to my living space. The patterns and shades perfectly blend with my decor.  |  A checked flatweave rug has brought a sense of modernity and style to my room. The design is both sleek and versatile, making it a practical choice for different settings.  |  Contemporary looking rug! The pile is of high-quality and amazing texture! Would definitely buy again! 
  |  Communication was a bit frustrating initially as I couldn't get a fix on the item being in stock, so I was a bit in the dark when I completed the purchase, however once I had paid for it there was a quick acknowledgment & confirmation of dispatch date with speed delivery so ultimately this was great service at a great price.  |  Stunning pattern and tone! The quality is just amazing! Its perfect for my outdoors! Would highly recommend!   |  Amazing quality with sturdy pile. The quality is really great! The ordering process was easy and hassle-less!   |  Item good quality, good price, delivery good just slow. ",67062f7cf386a3a7f2624e7d
Think Rugs Polar PL95 Cream Thick Shaggy Rug,49.99,34.72,Save 31,Acrylic,Easy to clean,Plain,60.0,2100,,"Handmade , Plain , Shaggy"," The lush texture is just brilliant and the colour really complements my room! From order to deliver, everything was handled by The Rug Shop UK perfectly!  |  Sumptuously shaggy rug! Great look and elegant tone! The material is really soft. A must have rug!  |  Affordable, shaggy-look, and high quality! The delivery timing could have been better. Customer Service was good!  |  Luxurious, plush, oh-so-soft rug! It’s perfect to just relax and lounge on! The rug complements my living room in an elegant way! Would buy again for sure!  |  Really luxurious look! Exceptionally soft appeal! The delivery and customer service was hassle-free! Brilliant purchase!  |  A really plush rug for my bedroom! It’s just so soft underfoot! The customer service was okay. Delivery was bit delayed.  |  It’s a must have plush, shaggy rug! Apart from delayed delivery, very happy with the purchase!  |  Extremely lush and exquisite-looking! Got an amazing deal on this one! Would definitely buy again! ",67062f7cf386a3a7f2624e7e
Scandi Berber G257 White Black Shaggy Rug by Think Rugs,89.99,54.21,Save 40,Polypropylene,Easy to clean,Geometric,45.0,2000,,"Modern , Shaggy , Moroccan",,67062f7cf386a3a7f2624e7f
My Lux Washable Stone Thick Shaggy Rug,35.0,27.0,Save 23,Polypropylene,Easy to clean,Plain,,,UK,"Modern , Plain , Shaggy",,67062f7cf386a3a7f2624e80
Aurora AU17 Linea Rug by Asiatic,89.0,52.8,Save 41,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,2250,Turkey,Modern," Amazing quality and cost-effective! From order to delivery, everything was handled by The Rug Shop UK perfectly. –One Happy Customer!  |  Rug is great but delivery was slow (2 weeks) and communication was also slow. Courier XPD  all over the place  constantly sending messages that were wrong. Waited in all afternoon as Instructed delivery was on the way  then delivery canceled at 7 pm. Just hassle that I haven't experienced with any of the other items I ordered at the exact same time.  |  Dubious initially from purchasing, due to the negative reviews. The rugs arrived as and when stated, I received an email after purchase to say the rugs I chose were in stock and shipment was arranged. They came within the time specified. I am more than happy with my purchase. Exactly what I was expecting, quality appears good and for a fraction of the price in comparison to other sites. Please don?t let the negative reviews put you off from purchasing.  |  Absolutely stunning pattern and soft texture! The delivery was earlier than expected! A great purchase!  |  Looks amazing under my coffee table! Whole ordering experience was great! – One Happy Customer!  |  Perfect abstract look! Apart from delayed delivery, happy with the whole ordering experience!  |  Cost-effective, durable, and high quality! It has a flat-pile but gives off a comfy and soft appeal! Would recommend!  |  Amazingly beautiful appeal! From order to delivery, The Rug Shop UK handled everything well! ",67062f7cf386a3a7f2624e81
Mehari 023 0067 2959 Designer Abstract Rug By Mastercraft,76.8,58.3,Save 24,Polypropylene,Easy to clean,Abstract,25.0,3197,Belgium,Modern," Absolutely gorgeous pattern and tones! Looks perfect in my dining room! Would highly recommend!  |  ""Choice of rugs, order process, communication, quality and speed of delivery were excellent.
Great company to deal with and will most definitely use them again.""
  |  Perfect texture and design! From order to deliver, everything was handled by The Rug Shop UK perfectly!  |  Loving the new look of my living room with this rug! Customer Service was good! The delivery timing could have been better!  |  Extremely vibrant with amazing striped design! Got an amazing deal on this one! Would highly recommend!  |  Alluring texture and colour scheme! The plush feel and texture make it totally worth the money!  |  Brilliant striped design and high-quality material! Apart from delayed delivery, happy with the whole ordering experience!  |  Fantastic range of rugs at fantastic prices!! I shopped online at many many retailers for a unique looking rug at a reasonable price! I found The Rug Seller...a massive range at a price to suit any budget. Excellent service and fast, free delivery. The rug i bought exceeded my expectation...much better in the flesh! I will definitely choose this retailer every time in the future and I'm happy to. ",67062f7cf386a3a7f2624e82
Galleria 063 0529 2626 Grey Abstract Rug by Mastercraft,100.8,76.12,Save 24,Polypropylene,Easy to clean,Abstract,11.0,2774,Belgium,Modern," Looks perfect in my Lounge Room! Got an amazing deal on this one! Would highly recommend!  |  Absolutely contemporary and high-quality rug! The quality is impressive! The whole ordering experience was great! – One Happy Customer!  |  Brilliant look, comfortable and budget-friendly! From order to delivery, everything was handled by The Rug Shop UK excellently!   |  Exceptionally modern and high-quality. The soft material gives a perfect feel underfoot. A must have rug for your home!  |  Extremely luxurious with chic look! The material is just uber-soft and comfortable! Would recommend it! ",67062f7cf386a3a7f2624e83
